Species,Model,class,n.patches,total.area,prop.landscape,patch.density,total.edge,edge.density,landscape.shape.index,largest.patch.index,mean.patch.area,sd.patch.area,min.patch.area,max.patch.area,perimeter.area.frac.dim,mean.perim.area.ratio,sd.perim.area.ratio,min.perim.area.ratio,max.perim.area.ratio,mean.shape.index,sd.shape.index,min.shape.index,max.shape.index,mean.frac.dim.index,sd.frac.dim.index,min.frac.dim.index,max.frac.dim.index,total.core.area,prop.landscape.core,mean.patch.core.area,sd.patch.core.area,min.patch.core.area,max.patch.core.area,prop.like.adjacencies,aggregation.index,lanscape.division.index,splitting.index,effective.mesh.size,patch.cohesion.index,range.size,n.cells,nwidth_mcp,nwidth_kd,sd.elev,sp.dist.equal.mean,median.long,median.lat
Aconitum lycoctonum ssp. lasiostomum,SDM.bin,1,11,1560800,56.63074634,3.99E-06,20760,0.007532383,4.152,0.527303073,141890.9091,435083.6482,2800,1453300,1.376,0.052579953,0.022095831,0.011133283,0.078571429,1.373,0.684933999,1,3.342975207,1.045277371,0.050107681,1,1.170629854,1357000,0.492362396,123363.6364,387287.0958,1000,1290800,0.93563589,97.45527353,0.72164075,3.59247986,767185.9294,0.995641517,2756100,27561,605,445,137.9249,495.0218091,34.83,52.57
Aconitum lycoctonum ssp. lasiostomum,ESM.bin,1,5,1353600,70.14561849,2.59E-06,14060,0.007286107,3.017167382,0.693527491,270720,596795.5571,3200,1338300,1.327,0.058081652,0.028023131,0.009713816,0.08125,1.423,0.788223681,1,2.801724138,1.043429261,0.058586776,1.006598092,1.146446652,1213200,0.628698761,242640,539037.8864,1000,1206900,0.949378938,98.24881702,0.519003654,2.079017871,928178.6495,0.997874981,1929700,19297,605,445,137.9249,495.0218091,34.83,52.57
Aconitum lycoctonum ssp. lasiostomum,ESM70.bin,1,11,463300,28.35026313,6.73E-06,12880,0.007881532,4.700729927,0.078937707,42118.18182,46346.30122,4000,129000,1.352,0.041762192,0.01883086,0.017674419,0.073015873,1.499,0.393845847,1,2.32,1.072424108,0.042773473,1.006598092,1.152752063,341200,0.208787174,31018.18182,37865.36196,1800,106600,0.870030272,94.44627013,0.984650265,65.14770492,25084.53678,0.96761421,1634200,16342,605,445,137.9249,495.0218091,34.83,52.57
Aconitum lycoctonum ssp. vulparia,ESM.bin,1,9,2316200,61.06029051,2.37E-06,26160,0.00689637,4.28852459,0.576701025,257355.5556,724085.1454,2700,2187600,1.377,0.052568875,0.027888157,0.00978241,0.088888889,1.505,0.855485805,1,3.614864865,1.053950795,0.061825493,1.001036525,1.176142792,2057600,0.542430074,228622.2222,654218.306,800,1972800,0.945078939,97.82046546,0.667076257,3.003690846,1262879.635,0.997049874,3793300,37933,1173,1271,530.979037,262.317648,11.43,47.18
Aconitum lycoctonum ssp. vulparia,SDM70.bin,1,16,2735100,53.32202597,3.12E-06,38720,0.007548641,5.848942598,0.378484813,170943.75,481760.2488,2500,1941400,1.382,0.046384718,0.022011709,0.011095086,0.088,1.541,0.756421725,1,3.860215054,1.062798825,0.054303182,1.000390258,1.186742193,2355400,0.459196007,147212.5,429211.483,800,1726700,0.931636004,97.04805871,0.849911418,6.662732016,769864.3721,0.993677065,5129400,51294,1173,1271,530.979037,262.317648,11.43,47.18
Aconitum lycoctonum ssp. vulparia,Occurrence,1,5,1101100,57.9587325,2.63E-06,15940,0.008390357,3.795238095,0.539793662,220220,450322.8697,3000,1025500,1.374,0.044376998,0.023416457,0.012384203,0.073333333,1.829,0.797989724,1,3.128078818,1.094362704,0.061608265,1.001036525,1.165124342,943500,0.496631224,188700,396275.7247,1200,897400,0.930145931,97.30882083,0.708069572,3.425473687,554609.4273,0.995273754,1899800,18998,1173,1271,530.979037,262.317648,11.43,47.18
Aconitum lycoctonum ssp. vulparia,ESM70.bin,1,21,2080000,42.71748953,4.31E-06,39200,0.008050604,6.78200692,0.354267642,99047.61905,372959.3498,3200,1725000,1.483,0.050556493,0.017078668,0.014434783,0.078787879,1.528,0.806415225,1,4.733840304,1.065495545,0.054993336,1.002785779,1.216696379,1699000,0.348927955,80904.7619,319909.1754,1200,1476000,0.910009183,95.9550725,0.8739728,7.934795019,613651.643,0.993296478,4869200,48692,1173,1271,530.979037,262.317648,11.43,47.18
Aconitum lycoctonum ssp. vulparia,SDM.bin,1,9,1871700,48.686401,2.34E-06,21200,0.005514515,3.868613139,0.466288628,207966.6667,594317.7307,400,1792600,1.299,0.075595339,0.068844838,0.009661944,0.25,1.496,0.707792894,1,3.231343284,1.063118759,0.053663401,1.001036525,1.163027922,1664300,0.432915409,184922.2222,538227.7115,0,1620100,0.944926482,97.88482239,0.78247038,4.597075112,836270.8693,0.996121972,3844400,38444,1173,1271,530.979037,262.317648,11.43,47.18
Aconitum napellus,ESM70.bin,1,23,1678200,34.82392978,4.77E-06,39840,0.008267104,7.661538462,0.146313627,72965.21739,176873.0403,2000,705100,1.473,0.051593666,0.021898454,0.015714083,0.09,1.594,0.801441776,1,4.060810811,1.069747991,0.062333317,1.001036525,1.212925161,1295200,0.268763877,56313.04348,146178.0555,600,594600,0.887951401,94.79942349,0.96509174,28.64651532,168226.395,0.985757292,4819100,48191,1379,1410,561.9980312,204.6841024,8.655,48.07
Aconitum napellus,Occurrence,1,25,1193100,30.59701493,6.41E-06,30800,0.007898651,7.03196347,0.182361389,47724,141415.1609,1700,711100,1.435,0.059696452,0.027035854,0.020053438,0.141176471,1.437,0.684567311,1,4.218934911,1.055961118,0.060672591,1.000390258,1.213978678,900500,0.230932964,36020,113862.3072,100,570800,0.878749705,94.41272258,0.964690159,28.32071629,137687.1955,0.984793121,3899400,38994,1379,1410,561.9980312,204.6841024,8.655,48.07
Aconitum napellus,SDM.bin,1,14,2187900,56.67694221,3.63E-06,26840,0.006952828,4.533783784,0.524285677,156278.5714,537718.6256,2400,2023900,1.38,0.056346932,0.022743484,0.009792974,0.083333333,1.401,0.665443689,1,3.477192982,1.048760584,0.05453253,1.001036525,1.171878492,1926600,0.499080382,137614.2857,486194.4639,800,1826500,0.940487805,97.59329989,0.724816659,3.633940914,1062290.249,0.995871046,3860300,38603,1379,1410,561.9980312,204.6841024,8.655,48.07
Aconitum napellus,ESM.bin,1,13,2367600,59.96808591,3.29E-06,29960,0.00758846,4.863636364,0.557660647,182123.0769,606980.5779,3000,2201700,1.421,0.051627554,0.018891531,0.010491893,0.073333333,1.446,0.792939802,1,3.888888889,1.050431829,0.057095935,1.001036525,1.186093464,2074700,0.525493275,159592.3077,544808.025,1200,1972500,0.938669396,97.47045319,0.688705588,3.212393031,1229021.469,0.996521486,3948100,39481,1379,1410,561.9980312,204.6841024,8.655,48.07
Aconitum napellus,SDM70.bin,1,15,1712200,43.48223582,3.81E-06,32760,0.008319577,6.251908397,0.133148792,114146.6667,186475.4862,900,524300,1.349,0.05141498,0.040749796,0.01388518,0.177777778,1.69,0.681163478,1,3.108910891,1.083427113,0.054582877,1.006598092,1.182495788,1395000,0.35426772,93000,159844.2099,0,452500,0.908700741,95.95079748,0.955998436,22.72646515,173264.9567,0.98607352,3937700,39377,1379,1410,561.9980312,204.6841024,8.655,48.07
Aconitum napellus ssp. firmum,ESM.bin,1,4,79600,33.68599238,1.69E-05,2620,0.011087601,2.298245614,0.17223868,19900,15929.8462,3500,40700,0.782,0.051055344,0.035752869,0.023095823,0.102857143,1.3,0.157068891,1.146341463,1.5,1.056465578,0.032496172,1.028753357,1.102824486,55600,0.235294118,13900,13478.87236,700,31900,0.84793964,95.17915309,0.957997546,23.80813279,9925.179856,0.952022404,236300,2363,118,170,310.2330567,516.8276419,19.98,48.94
Aconitum napellus ssp. firmum,SDM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5129400,51294,118,170,310.2330567,516.8276419,19.98,48.94
Aconitum napellus ssp. firmum,Occurrence,1,3,56700,36.67529107,1.94E-05,1680,0.010866753,1.75,0.263260026,18900,20241.54144,700,40700,1.027,0.07834909,0.081078776,0.023095823,0.171428571,1.184,0.120959873,1,1.24,1.03798211,0.009044658,1.028753357,1.046830685,41500,0.26843467,13833.33333,16365.91987,0,31900,0.862068966,96.68508287,0.920879572,12.63896101,12232.01811,0.962132713,154600,1546,118,170,310.2330567,516.8276419,19.98,48.94
Aconitum napellus ssp. firmum,SDM.bin,1,3,59400,36.06557377,1.82E-05,1760,0.010686096,1.795918367,0.247115968,19800,19535.35257,2000,40700,1.12,0.050473059,0.035067845,0.023095823,0.09,1.136,0.11676066,1,1.230769231,1.024774112,0.021429053,1.001634348,1.043934632,43200,0.262295082,14400,15974.66745,600,31900,0.862068966,96.57594381,0.928504993,13.98699069,11775.22769,0.960908638,164700,1647,118,170,310.2330567,516.8276419,19.98,48.94
Aconitum napellus ssp. firmum,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4869200,48692,118,170,310.2330567,516.8276419,19.98,48.94
Aconitum napellus ssp. fissurae,ESM.bin,1,4,28800,15.8503027,2.20E-05,1440,0.007925151,2.117647059,0.094111172,7200,6956.05252,1700,17100,1.129,0.068518028,0.029652177,0.038596491,0.105882353,1.129,0.105033717,1,1.222222222,1.026993158,0.014026537,1.018139793,1.04771367,16100,0.088607595,4025,4803.731189,300,10900,0.777777778,92.98892989,0.989322394,93.65394871,1940.121079,0.916384217,181700,1817,389,718,347.211661,168.2577641,15.945,45.155
Aconitum napellus ssp. fissurae,SDM70.bin,1,7,101200,14.74358974,1.02E-05,4700,0.006847319,3.671875,0.040355478,14457.14286,11125.77445,100,27700,1.209,0.103456653,0.131600958,0.036101083,0.4,1.447,0.307245186,1,1.8,1.071234404,0.047837556,1,1.122924455,58900,0.085810023,8414.285714,7470.03538,0,18100,0.791943338,91.2755102,0.995318299,213.5975627,3213.519814,0.938370421,686400,6864,389,718,347.211661,168.2577641,15.945,45.155
Aconitum napellus ssp. fissurae,SDM.bin,1,4,28800,15.8503027,2.20E-05,1440,0.007925151,2.117647059,0.094111172,7200,6956.05252,1700,17100,1.129,0.068518028,0.029652177,0.038596491,0.105882353,1.129,0.105033717,1,1.222222222,1.026993158,0.014026537,1.018139793,1.04771367,16100,0.088607595,4025,4803.731189,300,10900,0.777777778,92.98892989,0.989322394,93.65394871,1940.121079,0.916384217,181700,1817,389,718,347.211661,168.2577641,15.945,45.155
Aconitum napellus ssp. fissurae,ESM70.bin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4869200,48692,389,718,347.211661,168.2577641,15.945,45.155
Aconitum napellus ssp. fissurae,Occurrence,1,4,28800,15.8503027,2.20E-05,1440,0.007925151,2.117647059,0.094111172,7200,6956.05252,1700,17100,1.129,0.068518028,0.029652177,0.038596491,0.105882353,1.129,0.105033717,1,1.222222222,1.026993158,0.014026537,1.018139793,1.04771367,16100,0.088607595,4025,4803.731189,300,10900,0.777777778,92.98892989,0.989322394,93.65394871,1940.121079,0.916384217,181700,1817,389,718,347.211661,168.2577641,15.945,45.155
Aconitum napellus ssp. hians,ESM.bin,1,10,270000,29.8276624,1.10E-05,7940,0.008771542,3.817307692,0.245581087,27000,68672.63728,2500,222300,1.413,0.065047502,0.018919619,0.02177238,0.088,1.33,0.470814293,1,2.547368421,1.050057154,0.046271352,1.009737687,1.153102777,195200,0.215642952,19520,54268.56672,800,173900,0.863032603,94.46752266,0.939304166,16.47559526,54941.8692,0.978759663,905200,9052,174,399,262.6462645,340.6106751,13.185,50.3
Aconitum napellus ssp. hians,ESM70.bin,1,3,15000,27.17391304,5.43E-05,960,0.017391304,1.92,0.182971014,5000,4417.012565,2400,10100,1.255,0.076939494,0.022935865,0.051485149,0.096,1.171,0.127893569,1,1.238095238,1.035893775,0.026940571,1.00524487,1.055831016,7100,0.128623188,2366.666667,2800.595175,700,5600,0.724137931,91.63636364,0.962580078,26.72373268,2065.57971,0.909062956,55200,552,174,399,262.6462645,340.6106751,13.185,50.3
Aconitum napellus ssp. hians,SDM.bin,1,3,122900,40.53430079,9.89E-06,4020,0.013258575,2.830985915,0.349274406,40966.66667,56248.94073,7200,105900,1.419,0.049660774,0.020497336,0.028517469,0.069444444,1.685,0.54678079,1.25,2.287878788,1.094489429,0.047772814,1.050759828,1.145475239,84500,0.278693931,28166.66667,41699.20063,3000,76300,0.848815344,94.55383326,0.876398778,8.0905349,37475.8905,0.980399087,303200,3032,174,399,262.6462645,340.6106751,13.185,50.3
Aconitum napellus ssp. hians,SDM70.bin,1,5,131500,37.38982087,1.42E-05,4500,0.012794996,3.082191781,0.176002275,26300,24346.14959,7000,61900,1.148,0.048277683,0.019789631,0.025201939,0.063703704,1.504,0.202400814,1.294117647,1.791666667,1.081607578,0.027694001,1.061815675,1.129418875,89500,0.254478249,17900,19756.89753,3000,46900,0.842381786,94.05553383,0.952872069,21.21883936,16574.89338,0.9601498,351700,3517,174,399,262.6462645,340.6106751,13.185,50.3
Aconitum napellus ssp. hians,Occurrence,1,4,102500,34.05315615,1.33E-05,4080,0.013554817,3.138461538,0.228903654,25625,29499.98588,6500,68900,1.499,0.050931795,0.015198699,0.033671988,0.069444444,1.599,0.466996133,1.058823529,2.188679245,1.087240359,0.048135832,1.025065259,1.142332692,64300,0.213621262,16075,20775.36602,3000,46700,0.818988465,92.99748111,0.942193684,17.29914784,17399.701,0.967093676,301000,3010,174,399,262.6462645,340.6106751,13.185,50.3
Aconitum napellus ssp. lusitanicum,ESM.bin,1,15,1486200,46.52953884,4.70E-06,20660,0.006468176,4.233606557,0.419273035,99080,343468.6952,100,1339200,1.25,0.117495706,0.128401412,0.010528674,0.4,1.342,0.60664211,1,3.038793103,1.043126567,0.055346149,1,1.157907166,1287800,0.403180865,85853.33333,308247.303,0,1199400,0.932828299,97.32360923,0.823682154,5.671575635,563176.8323,0.993651777,3194100,31941,771,1009,541.0882453,234.873826,7.995,48.08
Aconitum napellus ssp. lusitanicum,SDM.bin,1,23,1313000,40.9493513,7.17E-06,21420,0.006680389,4.656521739,0.348428144,57086.95652,231353.294,700,1117200,1.311,0.06971751,0.032979298,0.010687433,0.171428571,1.284,0.430295395,1,2.816037736,1.043595066,0.043952516,1.001036525,1.149096928,1111200,0.346556886,48313.04348,207438.9994,0,999300,0.921627456,96.76911256,0.878174236,8.208444294,390622.1307,0.989959519,3206400,32064,771,1009,541.0882453,234.873826,7.995,48.08
Aconitum napellus ssp. lusitanicum,ESM70.bin,1,19,864100,28.28848294,6.22E-06,23980,0.007850455,6.446236559,0.12440254,45478.94737,92836.97527,2500,380000,1.463,0.055063648,0.023396505,0.021736842,0.092307692,1.463,0.676217562,1,3.330645161,1.05594901,0.062544626,1,1.18818947,634000,0.207555817,33368.42105,72723.83113,800,298000,0.870245117,94.07463734,0.979161531,47.98816942,63653.18863,0.979336345,3054600,30546,771,1009,541.0882453,234.873826,7.995,48.08
Aconitum napellus ssp. lusitanicum,Occurrence,1,8,428900,22.47667959,4.19E-06,11840,0.0062048,4.519083969,0.128760088,53612.5,85576.23898,3000,245700,1.413,0.05759345,0.02982797,0.021408221,0.105555556,1.626,0.664759505,1,2.63,1.078811923,0.064408842,1.001036525,1.167352566,316200,0.165705901,39525,67440.21162,800,193900,0.870883315,94.5424411,0.979606477,49.03517748,38914.91982,0.978742858,1908200,19082,771,1009,541.0882453,234.873826,7.995,48.08
